	0
ENOG4108822	4
ENOG4108821	6
ENOG4108820	2
ENOG4108829	2
ENOG4108828	4
ENOG41083DV	11
ENOG41083DW	13
ENOG4107HPJ	14
ENOG41083DU	2
ENOG41083DR	1
ENOG4107HPM	4
ENOG4107HPN	6
ENOG41083DQ	7
ENOG4107HPA	6
ENOG4107HPB	3
ENOG4107HPC	2
ENOG4107HPD	7
ENOG4107HPE	11
ENOG41083DX	4
ENOG4107HPG	10
ENOG4107HPX	7
ENOG41083DG	4
ENOG4107HPZ	15
ENOG41083DB	13
ENOG41083DC	12
ENOG41083DA	5
ENOG41070K5	5
ENOG4107HPQ	3
ENOG4107HPR	6
ENOG4107HPS	4
ENOG41070K1	3
ENOG4107HPU	14
ENOG41083DH	13
ENOG41070K2	7
ENOG4105JF1	1
ENOG4105QU8	2
ENOG4108NWJ	5
ENOG4105M1M	11
ENOG4105QU9	3
ENOG4105M1N	13
ENOG4107ZNW	13
ENOG4108NWN	13
ENOG41083D6	2
ENOG41083D7	4
ENOG41083D4	1
ENOG41070KN	2
ENOG41083D2	8
ENOG41070KH	2
ENOG41070KK	7
ENOG41070KJ	3
ENOG41070KE	2
ENOG41070KD	2
ENOG41070KG	4
ENOG4107ZNS	15
ENOG41070KC	3
ENOG41070KB	4
ENOG4107HP8	2
ENOG4107HP9	3
ENOG41090KT	7
ENOG41070KY	3
ENOG41070KX	6
ENOG4105M1E	11
ENOG41070KU	4
ENOG4107HP1	3
ENOG41070KW	5
ENOG41070KV	5
ENOG4107HP4	3
ENOG41070KP	13
ENOG41070KS	2
ENOG4107HP7	8
ENOG4108IM7	3
ENOG4108IM6	2
ENOG4108IM5	11
ENOG4108IM4	11
ENOG4108IM3	3
ENOG4108IM2	14
ENOG4108IM1	10
ENOG4108IM0	9
ENOG4108NWF	1
ENOG4108ZVI	2
ENOG4108IM8	3
ENOG4105M1B	5
ENOG4108UPX	7
ENOG4108UPY	4
ENOG41067UK	1
ENOG4107ZND	2
ENOG4106XTM	10
ENOG41067UH	4
ENOG4106XTK	2
ENOG41067UN	13
ENOG4106XTI	3
ENOG4106XTH	2
ENOG41067UC	5
ENOG4106XTF	6
ENOG41067UA	15
ENOG4106XTD	4
ENOG41067UG	2
ENOG4106XTB	5
ENOG41067UE	7
ENOG41067UD	4
ENOG41067UZ	6
ENOG41067UY	7
ENOG41067UX	4
ENOG4106XTZ	5
ENOG4106XTY	8
ENOG4106XTX	15
ENOG41067US	14
ENOG4106XTV	6
ENOG4106XTU	6
ENOG4106XTT	1
ENOG4106XTS	4
ENOG4106XTR	5
ENOG41067UU	14
ENOG4106XTP	4
ENOG4107ZNB	2
ENOG4108F0K	1
ENOG4108UPQ	3
ENOG4105M1T	6
ENOG41067U9	3
ENOG41067U8	4
ENOG4108F0I	3
ENOG4106XT9	4
ENOG4106XT8	4
ENOG4106XT7	5
ENOG41067U2	8
ENOG41067U1	6
ENOG41067U0	11
ENOG41067U7	4
ENOG4108NWP	7
ENOG41067U5	2
ENOG4106XT0	2
ENOG4108IMW	8
ENOG4108IMV	9
ENOG4108IMU	10
ENOG4108IMT	13
ENOG4108IMS	9
ENOG4108IMR	6
ENOG4108IMQ	13
ENOG4108IMP	7
ENOG4105M1P	14
ENOG4108IMZ	3
ENOG4108IMY	15
ENOG4108IMX	14
ENOG4108IMG	2
ENOG4108IMF	13
ENOG4108IME	14
ENOG4108IMD	9
ENOG4108IMC	11
ENOG4108IMB	14
ENOG4108IMA	7
ENOG4108F0S	11
ENOG4108IMM	6
ENOG4108NWU	13
ENOG4108IMJ	3
ENOG4105QU7	1
ENOG4108F0R	10
ENOG4108ZQX	14
ENOG4108ZQY	2
ENOG4108ZQZ	4
ENOG4108UPJ	6
ENOG4108RQ1	4
ENOG4108ZQP	4
ENOG4108ZQQ	2
ENOG4108ZQR	4
ENOG4108ZQS	6
ENOG4108ZQT	2
ENOG4108RQ2	13
ENOG4108ZQV	9
ENOG4108ZQW	11
ENOG4108ZQH	5
ENOG4108ZQI	11
ENOG4108ZQJ	1
ENOG4108ZQK	4
ENOG4108ZQN	1
ENOG4108RQ4	5
ENOG4108ZQB	5
ENOG4108ZQC	5
ENOG4108ZQD	15
ENOG4108ZQE	7
ENOG4108ZQF	3
ENOG4108ZQG	1
ENOG41061GG	2
ENOG4106RVZ	6
ENOG41061GE	6
ENOG41061GD	2
ENOG41061GC	3
ENOG41061GB	6
ENOG41061GA	2
ENOG4106RVS	5
ENOG4106RVR	10
ENOG41061GM	9
ENOG4108RQ7	2
ENOG4106RVW	4
ENOG41061GJ	6
ENOG4106RVU	7
ENOG41061GH	3
ENOG41061GW	2
ENOG41061GV	7
ENOG4106RVI	6
ENOG41061GT	15
ENOG41061GS	4
ENOG4106RVN	5
ENOG41061GQ	2
ENOG4107DDA	4
ENOG4106RVC	3
ENOG4106RVB	4
ENOG4106RVA	6
ENOG4108F0X	1
ENOG4106RVG	1
ENOG41061GZ	7
ENOG4106RVE	2
ENOG41061GX	8
ENOG4106RV9	3
ENOG4106ZVX	2
ENOG4107951	1
ENOG4106RV3	5
ENOG4106RV2	1
ENOG4106RV1	2
ENOG4106RV0	12
ENOG4106RV7	2
ENOG4106RV6	4
ENOG4106RV5	1
ENOG4107DDE	2
ENOG41061G7	3
ENOG41061G6	1
ENOG41061G5	5
ENOG41061G4	10
ENOG41061G3	4
ENOG4107DDF	5
ENOG41061G1	7
ENOG41061G0	4
ENOG4108XPM	6
ENOG41061G9	6
ENOG41061G8	5
ENOG4106ZVC	3
ENOG4107YDT	4
ENOG4108ZQ0	4
